         86884 function calls (83281 primitive calls) in 32.940 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:504(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:541(Filterer)
       15    0.000    0.000    0.000    0.000 __init__.py:546(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:566(filter)
        1    0.000    0.000    0.000    0.000 __init__.py:588(Handler)
        2    0.000    0.000    0.000    0.000 __init__.py:597(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:614(createLock)
        2    0.000    0.000    0.000    0.000 __init__.py:623(acquire)
        2    0.000    0.000    0.000    0.000 __init__.py:630(release)
        2    0.000    0.000    0.000    0.000 __init__.py:643(format)
        1    0.000    0.000    0.000    0.000 __init__.py:66(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:666(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:70(ProcessError)
        4    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:73(BufferTooShort)
        1    0.000    0.000    0.000    0.000 __init__.py:739(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:74(LazyImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:746(__init__)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:757(flush)
        2    0.000    0.000    0.000    0.000 __init__.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:76(TimeoutError)
        2    0.000    0.000    0.000    0.000 __init__.py:764(emit)
        2    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:79(AuthenticationError)
        1    0.000    0.000    0.000    0.000 __init__.py:806(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:866(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:913(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:918(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:927(getLogger)
       12    0.000    0.000    0.000    0.000 __init__.py:959(_fixupParents)
        1    0.000    0.000    0.006    0.006 __init__.py:98(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:99(<module>)
       41    0.000    0.000    0.000    0.000 _abcoll.py:466(update)
       15    0.000    0.000    0.000    0.000 _abcoll.py:97(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _base.py:113(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:143(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:284(Future)
        2    0.000    0.000    0.000    0.000 _base.py:287(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:354(__get_result)
        2    0.000    0.000    0.006    0.003 _base.py:377(result)
        1    0.000    0.000    0.001    0.001 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:49(Error)
        1    0.000    0.000    0.000    0.000 _base.py:508(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:53(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:57(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:61(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:76(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:98(_FirstCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _btuple.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _btuple.py:4(btuple)
        1    0.000    0.000    0.000    0.000 _compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:102(metaclass)
        2    0.000    0.000    0.000    0.000 _compat.py:105(__new__)
        2    0.000    0.000    0.000    0.000 _compat.py:12(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:122(_C)
        1    0.000    0.000    0.000    0.000 _compat.py:124(_func)
        2    0.000    0.000    0.000    0.000 _compat.py:23(<lambda>)
        1    0.000    0.000    0.000    0.000 _compat.py:32(fix_tuple_repr)
        3    0.000    0.000    0.000    0.000 _compat.py:42(implements_iterator)
        3    0.000    0.000    0.000    0.000 _compat.py:47(implements_to_string)
        1    0.000    0.000    0.000    0.000 _compat.py:50(implements_to_string)
        1    0.000    0.000    0.000    0.000 _compat.py:52(native_string_result)
        1    0.000    0.000    0.000    0.000 _compat.py:57(<lambda>)
        1    0.000    0.000    0.000    0.000 _compat.py:57(implements_bool)
        5    0.000    0.000    0.000    0.000 _compat.py:68(implements_iterator)
        6    0.000    0.000    0.000    0.000 _compat.py:73(implements_to_string)
        1    0.000    0.000    0.000    0.000 _compat.py:92(with_metaclass)
        1    0.000    0.000    0.000    0.000 _endian.py:22(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:45(BigEndianStructure)
